Most Common Cancers (Incidence),5 YR Age Band,Metrics,Incidence,Incidence Crude Rate,Population Count
,45-49 years,,112,23.4,479033
,50-54 years,,186,45.7,407206
,55-59 years,,361,101.3,356462
,60-64 years,,485,182.6,265576
,65-69 years,,643,298.6,215345
,70-74 years,,796,424.4,187575
,75-79 years,,669,469,142630
,80-84 years,,470,515.5,91173
,85-89 years,,167,456.4,36594
,90+ years,,59,387.3,15235
,Total,,"4,020",65.7,6119456
Melanoma of the Skin,00-04 years,,0,0,344980
,05-09 years,,0,0,396738
,10-14 years,,1,0.2,426032
,15-19 years,,2,0.5,425339
,20-24 years,,9,2.1,430082
,25-29 years,,14,3.4,417554
,30-34 years,,38,8.4,450120
,35-39 years,,34,7,488773
,40-44 years,,55,10.1,543009
,45-49 years,,60,12.5,479033
,50-54 years,,97,23.8,407206
,55-59 years,,110,30.9,356462
,60-64 years,,108,40.7,265576
,65-69 years,,96,44.6,215345
,70-74 years,,113,60.2,187575
,75-79 years,,125,87.6,142630
,80-84 years,,75,82.3,91173
,85-89 years,,41,112,36594
,90+ years,,10,65.6,15235
,Total,,988,16.1,6119456
Non-Hodgkin's Lymphoma,00-04 years,,3,0.9,344980
,05-09 years,,7,1.8,396738
,10-14 years,,6,1.4,426032
,15-19 years,,10,2.4,425339
,20-24 years,,10,2.3,430082
,25-29 years,,19,4.6,417554
,30-34 years,,17,3.8,450120
,35-39 years,,48,9.8,488773
,40-44 years,,63,11.6,543009
,45-49 years,,86,18,479033
,50-54 years,,87,21.4,407206
,55-59 years,,131,36.8,356462
,60-64 years,,155,58.4,265576
,65-69 years,,133,61.8,215345
,70-74 years,,188,100.2,187575
,75-79 years,,169,118.5,142630
,80-84 years,,118,129.4,91173
,85-89 years,,57,155.8,36594
,90+ years,,12,78.8,15235
,Total,,"1,319",21.6,6119456
Not Applicable,00-04 years,,0,0,344980
,05-09 years,,0,0,396738
,10-14 years,,0,0,426032
,15-19 years,,0,0,425339
,20-24 years,,0,0,430082
,25-29 years,,0,0,417554
,30-34 years,,0,0,450120
,35-39 years,,0,0,488773
,40-44 years,,0,0,543009
,45-49 years,,0,0,479033
,50-54 years,,0,0,407206
,55-59 years,,0,0,356462
,60-64 years,,0,0,265576
,65-69 years,,0,0,215345
,70-74 years,,0,0,187575
,75-79 years,,0,0,142630
,80-84 years,,0,0,91173
,85-89 years,,0,0,36594
,90+ years,,0,0,15235
,Total,,0,0,6119456
Oral Cavity and Pharynx,00-04 years,,0,0,344980
,05-09 years,,0,0,396738
,10-14 years,,2,0.5,426032
,15-19 years,,7,1.6,425339
,20-24 years,,6,1.4,430082
,25-29 years,,6,1.4,417554
,30-34 years,,9,2,450120
,35-39 years,,23,4.7,488773
,40-44 years,,50,9.2,543009
,45-49 years,,96,20,479033
,50-54 years,,99,24.3,407206
,55-59 years,,105,29.5,356462
,60-64 years,,115,43.3,265576
,65-69 years,,114,52.9,215345
,70-74 years,,94,50.1,187575
,75-79 years,,75,52.6,142630
,80-84 years,,60,65.8,91173
,85-89 years,,23,62.9,36594
,90+ years,,10,65.6,15235
,Total,,894,14.6,6119456
Other,00-04 years,,25,7.2,344980
,05-09 years,,5,1.3,396738
,10-14 years,,12,2.8,426032
,15-19 years,,17,4,425339
,20-24 years,,22,5.1,430082
,25-29 years,,17,4.1,417554
,30-34 years,,29,6.4,450120
,35-39 years,,51,10.4,488773
,40-44 years,,99,18.2,543009
,45-49 years,,183,38.2,479033
,50-54 years,,282,69.3,407206
,55-59 years,,388,108.8,356462
,60-64 years,,425,160,265576
,65-69 years,,494,229.4,215345
,70-74 years,,519,276.7,187575
,75-79 years,,538,377.2,142630
,80-84 years,,412,451.9,91173
,85-89 years,,187,511,36594
,90+ years,,81,531.7,15235
,Total,,"3,786",61.9,6119456
Ovary,00-04 years,,0,0,344980
,05-09 years,,0,0,396738
,10-14 years,,0,0,426032
,15-19 years,,0,0,425339
,20-24 years,,0,0,430082
,25-29 years,,0,0,417554
,30-34 years,,0,0,450120
,35-39 years,,0,0,488773
,40-44 years,,0,0,543009
,45-49 years,,0,0,479033
,50-54 years,,0,0,407206
,55-59 years,,0,0,356462
,60-64 years,,0,0,265576
,65-69 years,,0,0,215345
,70-74 years,,0,0,187575
,75-79 years,,0,0,142630
,80-84 years,,0,0,91173
,85-89 years,,0,0,36594
,90+ years,,0,0,15235
,Total,,0,0,6119456
Pancreas,00-04 years,,0,0,344980
,05-09 years,,0,0,396738
,10-14 years,,0,0,426032
,15-19 years,,0,0,425339
,20-24 years,,0,0,430082
,25-29 years,,1,0.2,417554
,30-34 years,,2,0.4,450120
,35-39 years,,5,1,488773
,40-44 years,,11,2,543009
,45-49 years,,14,2.9,479033
,50-54 years,,54,13.3,407206
,55-59 years,,48,13.5,356462
,60-64 years,,81,30.5,265576
,65-69 years,,97,45,215345
,70-74 years,,93,49.6,187575
,75-79 years,,83,58.2,142630
,80-84 years,,61,66.9,91173
,85-89 years,,21,57.4,36594
,90+ years,,10,65.6,15235
,Total,,581,9.5,6119456
Prostate,00-04 years,,3,0.9,344980
,05-09 years,,0,0,396738
,10-14 years,,0,0,426032
