Most Common Cancers (Incidence),5 YR Age Band,Metrics,Incidence,Incidence Crude Rate,Population Count
,30-34 years,,11,2.5,448562
,35-39 years,,17,3.5,490288
,40-44 years,,57,10.6,538900
,45-49 years,,124,25.5,485553
,50-54 years,,214,50.6,422602
,55-59 years,,288,78.8,365313
,60-64 years,,436,156.9,277909
,65-69 years,,477,203.9,233982
,70-74 years,,550,259.1,212267
,75-79 years,,529,284.8,185773
,80-84 years,,392,271.3,144499
,85-89 years,,151,207.1,72916
,90+ years,,78,183.5,42497
,Total,,"3,328",53.1,6273265
Melanoma of the Skin,00-04 years,,0,0,330334
,05-09 years,,0,0,382765
,10-14 years,,0,0,405941
,15-19 years,,6,1.5,403647
,20-24 years,,22,5.3,415327
,25-29 years,,24,5.8,414190
,30-34 years,,48,10.7,448562
,35-39 years,,60,12.2,490288
,40-44 years,,80,14.8,538900
,45-49 years,,79,16.3,485553
,50-54 years,,93,22,422602
,55-59 years,,90,24.6,365313
,60-64 years,,58,20.9,277909
,65-69 years,,72,30.8,233982
,70-74 years,,80,37.7,212267
,75-79 years,,77,41.4,185773
,80-84 years,,61,42.2,144499
,85-89 years,,35,48,72916
,90+ years,,15,35.3,42497
,Total,,900,14.3,6273265
NonHodgkins Lymphoma,00-04 years,,2,0.6,330334
,05-09 years,,3,0.8,382765
,10-14 years,,2,0.5,405941
,15-19 years,,6,1.5,403647
,20-24 years,,5,1.2,415327
,25-29 years,,19,4.6,414190
,30-34 years,,22,4.9,448562
,35-39 years,,34,6.9,490288
,40-44 years,,51,9.5,538900
,45-49 years,,64,13.2,485553
,50-54 years,,97,23,422602
,55-59 years,,105,28.7,365313
,60-64 years,,111,39.9,277909
,65-69 years,,125,53.4,233982
,70-74 years,,156,73.5,212267
,75-79 years,,151,81.3,185773
,80-84 years,,136,94.1,144499
,85-89 years,,72,98.7,72916
,90+ years,,34,80,42497
,Total,,"1,195",19,6273265
Not Applicable,00-04 years,,0,0,330334
,05-09 years,,0,0,382765
,10-14 years,,0,0,405941
,15-19 years,,0,0,403647
,20-24 years,,0,0,415327
,25-29 years,,0,0,414190
,30-34 years,,0,0,448562
,35-39 years,,0,0,490288
,40-44 years,,0,0,538900
,45-49 years,,0,0,485553
,50-54 years,,0,0,422602
,55-59 years,,0,0,365313
,60-64 years,,0,0,277909
,65-69 years,,0,0,233982
,70-74 years,,0,0,212267
,75-79 years,,0,0,185773
,80-84 years,,0,0,144499
,85-89 years,,0,0,72916
,90+ years,,0,0,42497
,Total,,0,0,6273265
Oral Cavity and Pharynx,00-04 years,,0,0,330334
,05-09 years,,0,0,382765
,10-14 years,,0,0,405941
,15-19 years,,2,0.5,403647
,20-24 years,,4,1,415327
,25-29 years,,5,1.2,414190
,30-34 years,,10,2.2,448562
,35-39 years,,11,2.2,490288
,40-44 years,,21,3.9,538900
,45-49 years,,33,6.8,485553
,50-54 years,,38,9,422602
,55-59 years,,49,13.4,365313
,60-64 years,,33,11.9,277909
,65-69 years,,31,13.2,233982
,70-74 years,,53,25,212267
,75-79 years,,51,27.5,185773
,80-84 years,,32,22.1,144499
,85-89 years,,27,37,72916
,90+ years,,17,40,42497
,Total,,417,6.6,6273265
Other,00-04 years,,27,8.2,330334
,05-09 years,,6,1.6,382765
,10-14 years,,9,2.2,405941
,15-19 years,,9,2.2,403647
,20-24 years,,14,3.4,415327
,25-29 years,,21,5.1,414190
,30-34 years,,38,8.5,448562
,35-39 years,,50,10.2,490288
,40-44 years,,119,22.1,538900
,45-49 years,,148,30.5,485553
,50-54 years,,201,47.6,422602
,55-59 years,,199,54.5,365313
,60-64 years,,269,96.8,277909
,65-69 years,,325,138.9,233982
,70-74 years,,392,184.7,212267
,75-79 years,,398,214.2,185773
,80-84 years,,406,281,144499
,85-89 years,,242,331.9,72916
,90+ years,,168,395.3,42497
,Total,,"3,041",48.5,6273265
Ovary,00-04 years,,0,0,330334
,05-09 years,,4,1,382765
,10-14 years,,3,0.7,405941
,15-19 years,,10,2.5,403647
,20-24 years,,8,1.9,415327
,25-29 years,,11,2.7,414190
,30-34 years,,15,3.3,448562
,35-39 years,,29,5.9,490288
,40-44 years,,69,12.8,538900
,45-49 years,,84,17.3,485553
,50-54 years,,91,21.5,422602
,55-59 years,,98,26.8,365313
,60-64 years,,91,32.7,277909
,65-69 years,,93,39.7,233982
,70-74 years,,105,49.5,212267
,75-79 years,,90,48.4,185773
,80-84 years,,77,53.3,144499
,85-89 years,,40,54.9,72916
,90+ years,,18,42.4,42497
,Total,,936,14.9,6273265
Pancreas,00-04 years,,0,0,330334
,05-09 years,,0,0,382765
,10-14 years,,0,0,405941
,15-19 years,,0,0,403647
,20-24 years,,0,0,415327
,25-29 years,,1,0.2,414190
,30-34 years,,2,0.4,448562
,35-39 years,,2,0.4,490288
,40-44 years,,9,1.7,538900
,45-49 years,,20,4.1,485553
,50-54 years,,25,5.9,422602
,55-59 years,,38,10.4,365313
,60-64 years,,57,20.5,277909
,65-69 years,,66,28.2,233982
,70-74 years,,87,41,212267
,75-79 years,,117,63,185773
,80-84 years,,127,87.9,144499
,85-89 years,,59,80.9,72916
,90+ years,,35,82.4,42497
,Total,,645,10.3,6273265
Prostate,00-04 years,,0,0,330334
,05-09 years,,0,0,382765
,10-14 years,,0,0,405941
,15-19 years,,0,0,403647
,20-24 years,,0,0,415327
,25-29 years,,0,0,414190
,30-34 years,,0,0,448562
,35-39 years,,0,0,490288
,40-44 years,,0,0,538900
,45-49 years,,0,0,485553
,50-54 years,,0,0,422602
,55-59 years,,0,0,365313
,60-64 years,,0,0,277909
,65-69 years,,0,0,233982
,70-74 years,,0,0,212267
,75-79 years,,0,0,185773
,80-84 years,,0,0,144499
,85-89 years,,0,0,72916
,90+ years,,0,0,42497
,Total,,0,0,6273265
Stomach,00-04 years,,0,0,330334
,05-09 years,,0,0,382765
,10-14 years,,0,0,405941
,15-19 years,,0,0,403647
,20-24 years,,1,0.2,415327
